Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:01Lr5YepbgjXAWR9iOEyH1,322afbf1496d4fb2b5adda378cbd0ad6,2025-04-06T14:25:24Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,322afbf1496d4fb2b5adda378cbd0ad6,2025-04-06T14:25:24Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2A1aS3mwuGuX2yk1bgxOvA,322afbf1496d4fb2b5adda378cbd0ad6,2025-04-06T14:25:24Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:5J44WjLWlXDhs9re4YO2f1,322afbf1496d4fb2b5adda378cbd0ad6,2025-04-06T14:25:24Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:6ekV6MGnPTuCOnjB4VcWGc,322afbf1496d4fb2b5adda378cbd0ad6,2025-04-06T14:25:24Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:3LpzTfYA23DZ2EVZMNObYD,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"Stooki Sound only has 45k monthly listeners on Spotify and this song is from 2017. This is a cool submission. 

Btw, Stooki has an ""Echoes"" album, with six different remixes of this song. Is that normal for an EDM guy? How did you choose this one of the six?

Okay I just listened to all six. This one is definitely the most hype.

I have no idea who submitted this but thank you. Later edit: Oh, actually, its definitely Noah, right?",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"We used to listen to this song in my high school hockey locker room before games.

This is a good opportunity to remind everyone of the Golden Rule of music league. if you vote for my song, it means you have good music taste. But if you don't vote for my song it means you have bad music taste. 

",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,1,"Mario Cart? No. It's a theme song from a 1986 movie (with 92% on Rotten Tomatoes, respect) about a small-town Indiana high school basketball team led by Gene Hackman. Apparently, it's been called one of the best sports movies ever made (but it's about an all all-white basketball team from Indiana — really?). 

One reviewer from Time magazine wrote that Gene Hackman played a wonderful ""inarticulate man tense with struggle to curb a flaring, mysterious anger."" All signs point to Abe or Phil (HAHA)",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0wps7rop5iHwBo0rQZ2g9A,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,1,"""Drop it like the NASDAQ."" Pertinent. 

It's also already on my workout playlist. Despite this song reminding me of my sophomore year in high school, I'll toss you a vote. ",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:20ubMMwoL8zs9hDZ149aPl,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"""Me dijo un pajarito que te dejaste y que no quieres salir de la cama... vístete, que vamo' a salir, ¿oíste?"" Esta canción es sobre animarse a alguien (;)) y sin duda es una buena elección, pero solo tengo 5 votos. 

Corey told me he didn't submit this song (btw maybe we should make a rule about doing that. I also told corey I didn't submit this). But I don't know anyone else who's taken a spanish class so my guess is still Corey. ",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:22L7bfCiAkJo5xGSQgmiIO,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"Yah, this is a Kanye song

Matai?",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2A1aS3mwuGuX2yk1bgxOvA,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,1,"The Queen once said ""I don't know much about algebra but I know 1+1=2."" 

Songs with random counting and associated rhymes are oddly common in my liked songs on Spotify (Countdown, Emotional bruises, Nuthin’ But A “G” Thang, 23 - Randy (my favorite) 11 PM - Maluma). 

The worst part of this song is that there is no rhyme for ""five."" A generous interpretation is that there's a slant rhyme with ""five"" and ""night."" Hear that ""i"" sound? 

Whatever. It's already BEEN on my workout playlist",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"Look, if I were sloshed in a club and Jake reminded me that I had 49 minutes to submit an ""ultra hype"" music league song for the first week, I'd probably submit power by Kanye and leave a 9 character comment. 

That isn't to say Willie submitted this. But it says something that those circumstances would favor this submission.

Willie? Matai? Oh, actually, maybe Shappy.",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:4xkOaSrkexMciUUogZKVTS,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,1,"If you had one shot or one opportunity, to submit the most hype Eminem song,  would you capture it or just let it slip? 

I think you let it slip. 

This is objectively a hype song. But it's arguably not even the most hype of Eminem's songs: Lose Yourself, Rap God, Soldier, Rabbit Run.

I can't (over)reward submitting a song that probably pops up when you google ""Ultra hype songs I should submit for my music league."" but you still get a vote because I'm shaking while listening to this song. ",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:52LJ3hyknOijCrE5gCD0rE,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,1,"Thank you to this cultured, anonymous submitter. I never would have listened to this song again except for this music league submission. And that's what music league is all about.  

Guesses: Mason? Abe (because French)? Devon? ",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:5J44WjLWlXDhs9re4YO2f1,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,"Another submission with random counting (in the first line! and twice in the first stanza(?)!). And LUNAX follows that up with ABC! 

If I had to choose the most hype song for kindergarteners, this would be it. ABC is repeated 23 times! I counted! And for what! ",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:6ekV6MGnPTuCOnjB4VcWGc,2514636114c2431a903f1cad7eaf72e5,2025-04-06T17:12:53Z,0,Good song. Adding to my workout playlist,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:5J44WjLWlXDhs9re4YO2f1,ed0161afb03b4ca1bec408592183e62a,2025-04-06T18:37:35Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:20ubMMwoL8zs9hDZ149aPl,ed0161afb03b4ca1bec408592183e62a,2025-04-06T18:37:35Z,3,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2A1aS3mwuGuX2yk1bgxOvA,ed0161afb03b4ca1bec408592183e62a,2025-04-06T18:37:35Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:22L7bfCiAkJo5xGSQgmiIO,4797322ebba74139bb8dd84877d43b7b,2025-04-07T01:32:02Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:4xkOaSrkexMciUUogZKVTS,4797322ebba74139bb8dd84877d43b7b,2025-04-07T01:32:02Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,4797322ebba74139bb8dd84877d43b7b,2025-04-07T01:32:02Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:5J44WjLWlXDhs9re4YO2f1,4797322ebba74139bb8dd84877d43b7b,2025-04-07T01:32:02Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,4797322ebba74139bb8dd84877d43b7b,2025-04-07T01:32:02Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,2365eaf4ec8543e6a865cfac9367d3ce,2025-04-08T05:26:42Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:4xkOaSrkexMciUUogZKVTS,2365eaf4ec8543e6a865cfac9367d3ce,2025-04-08T05:26:42Z,2,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:5J44WjLWlXDhs9re4YO2f1,2365eaf4ec8543e6a865cfac9367d3ce,2025-04-08T05:26:42Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,2365eaf4ec8543e6a865cfac9367d3ce,2025-04-08T05:26:42Z,1,"Sitting with this one
",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:20ubMMwoL8zs9hDZ149aPl,2365eaf4ec8543e6a865cfac9367d3ce,2025-04-08T05:26:42Z,0,What does 'madre' mean?,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0wps7rop5iHwBo0rQZ2g9A,344513fa126c435d8c9d18a70e8c43c8,2025-04-09T17:14:23Z,2,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:20ubMMwoL8zs9hDZ149aPl,344513fa126c435d8c9d18a70e8c43c8,2025-04-09T17:14:23Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:4xkOaSrkexMciUUogZKVTS,344513fa126c435d8c9d18a70e8c43c8,2025-04-09T17:14:23Z,2,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,1,Phil or Luis or Abe. Bangs,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0wps7rop5iHwBo0rQZ2g9A,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,0,This shit hit when I was 14,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:20ubMMwoL8zs9hDZ149aPl,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,0,"Fem queen, runway
Realness all the way
Butch queen all the way
Sex siren, give me face
Fem queen, runway
Realness all the way
Butch queen all the way
Sex siren, give me face",4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:22L7bfCiAkJo5xGSQgmiIO,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,1,Nooooo don't become a nazi your so sexy aha,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,1,Intro remains special. A Matai or Devon pick,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2A1aS3mwuGuX2yk1bgxOvA,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,0,I think this is Mason just based on the description,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,0,I prefer All of the Lights for this purpose,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:3LpzTfYA23DZ2EVZMNObYD,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,1,I liked this one,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:52LJ3hyknOijCrE5gCD0rE,8e9a5b80ce6647e990d5f3804f53781e,2025-04-10T14:10:23Z,1,Banger - I think this is Martin or Luis,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:52LJ3hyknOijCrE5gCD0rE,4a85b1376c014463baddf7ef333ee0f6,2025-04-10T14:14:40Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,4a85b1376c014463baddf7ef333ee0f6,2025-04-10T14:14:40Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,4a85b1376c014463baddf7ef333ee0f6,2025-04-10T14:14:40Z,1,This song really makes you feel like ohio,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0wps7rop5iHwBo0rQZ2g9A,4a85b1376c014463baddf7ef333ee0f6,2025-04-10T14:14:40Z,1,Timeless banger,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:2A1aS3mwuGuX2yk1bgxOvA,4a85b1376c014463baddf7ef333ee0f6,2025-04-10T14:14:40Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:01Lr5YepbgjXAWR9iOEyH1,7ff3d00e1d8444bcb0e9e838599f42b9,2025-04-11T01:22:11Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
spotify:track:0nsR0uX0iQl2cNtodBrNC0,7ff3d00e1d8444bcb0e9e838599f42b9,2025-04-11T01:22:11Z,1,,4f339d91dc6b41e38c61b2ef8d9e3298
