ID,Created,Name,Description,Playlist URL
c3c3872df1ea4c358737f06654c76b07,2025-06-13T18:29:16Z,Short and Sweet,Songs that are under 2 minutes in runtime,https://open.spotify.com/playlist/6MxPlY9ZFCqJpf0DiYVY4K
e1517e55b5504acbb14d7b2e0594c9d8,2025-06-13T18:31:21Z,Songs that Remind You of Home,Fairly self explanatory. What's harder is whether the goal is for it to remind everyone of home or just be a song that reminds you of home and hope others like it. Probably the latter. ,https://open.spotify.com/playlist/4XFmbGpGFY6oHksGbir64I
f1ce59aa8b064d7383556a36f39580c1,2025-06-13T18:32:51Z,Songs not in English,Let's get some other languages in here. I don't want to understand a word in the songs sent.,https://open.spotify.com/playlist/1l3t4H2Km6SBlTBmxtZPVo
d1db9b6d771f4363a1dce5266a619482,2025-06-13T18:33:26Z,First Dance Songs,An opportunity to convince Hannah and Grant that your song clearly should be the song for their first dance,https://open.spotify.com/playlist/3qhsy3QaNunJ1eqPj0xXgD
3ad5172606cc4b86b19596c46fc89ab0,2025-06-13T18:34:20Z,Gender-Swapped Covers,Women covering men. Men covering women. These covers change up the vibe,https://open.spotify.com/playlist/6WQecFcE7hjVm1SO0eRhFS
8dc38f71f7ac4036bfb1eb2b0a0b5e9e,2025-06-13T18:36:30Z,Songs on Your First iPod,These are the songs you pulled off of LimeWire in the mid thousands. Or I suppose you could've acquired them legally.,https://open.spotify.com/playlist/5rVl306JptSADEa9Ze8HsD
347cf567df0144628354ab20d0aa4bc5,2025-06-13T18:37:21Z,Storytelling Songs,These are songs that tell a story in the third person. Maybe a ballad or some solid folklore in there. ,https://open.spotify.com/playlist/6n9Iwru4PE1HSFRNxDiawi
c949791a37e8419ba3207ce9fee13ec3,2025-06-13T18:38:11Z,Best Instrument Solo,We're looking for the best solo in a song where the rest of the band steps back and lets one instrument take the lead and show off how ridiculously talented people are at making music. ,https://open.spotify.com/playlist/3Az9mrGHqlIuBRkvyMWcg1
914892d0dfe244169f3cafb3e0b69f8b,2025-06-13T18:39:31Z,My Cup of Tea,"This is about having songs that you love but maybe not everyone does. Bring out your hot takes, your ugly ducklings, and your last picks. Let's see if you can convince people to give a strange song a chance. ",https://open.spotify.com/playlist/4AlxCW9wzSUO5I6JneTkLq
fce800e98fb746428aff59cb6ab9953f,2025-06-13T18:40:59Z,Niche Pulls,Submit a song from a mostly unknown artist. (To help with line drawing we are looking for under 250k monthly listeners on spotify.) Who do you know that no one else does?,https://open.spotify.com/playlist/1943MZJrXc1njndjKdpFRs
5a9c97237d63496fb1768a7b16f0f9d0,2025-06-13T18:42:27Z,"Pre-Pearl Harbor Music (Dec. 7, 1941)",Harken back to a time when the United States really wanted to not get involved in other countries conflicts. What oldies do you think not get the credit they deserve?,https://open.spotify.com/playlist/5TqkR2vnUdjs6syrmOqM5c
5b014f3876d04a3b9198768d153bd8c6,2025-06-13T18:43:33Z,Your Song of the Summer,"August, June, and July have all passed us by. Look back on the summer of 2025 and share which song got you through the dog days of these hot summer months. ",https://open.spotify.com/playlist/3lKAJsl5m8u59LukiiRmsc
