ID,Created,Name,Description,Playlist URL
0bb1a62dc8a84b3fb6ade689b31cc0c3,2026-05-19T02:31:55.009364Z,Wankathon,"Now that we have some insight into Mr. Keaux’s wedding music taste from last season, this is our chance to make the playlist for the WANKATHON",https://open.spotify.com/playlist/7iYCQDnwe5GhV0E5v2XLVX
20b9dbe3b08141528125f24b556290b1,2026-06-08T02:00:00Z,Long Ass Songs,Any song longer than 6 minutes 22 seconds,https://open.spotify.com/playlist/2uWhy8iOPSwWJ8dSK8G5pO
b999783e787c49f1b4f8e0c1a30856b7,2026-06-15T02:00:00Z,Brainrot,Brainrot,https://open.spotify.com/playlist/0V2FcfZA5D1EyNbPa127ED
5dab41331f744f8692dfd77aee32adbb,2026-06-22T02:00:00Z,Song you don’t think anyone else has heard before,"Show us fresh music: unknown songs, artists, genres",https://open.spotify.com/playlist/0iiJjD9nBl7ARWIqNGOo1R
62be1b397594426c8140ca2ea9b70325,2026-06-29T02:00:00Z,Song that has a reference to Canada,Everyone knows that songs that have a reference to Canada in them are the best. What’s your favorite song that references our neighbor to the north?,https://open.spotify.com/playlist/3HIbgSKCNWb5KGuB2C8kD3
bad4e2b49d514d81b318711f2069c628,2026-07-06T02:00:00Z,Country song for people who don’t enjoy country music,So many people say they don’t enjoy country music. Submit a country song those people might like,https://open.spotify.com/playlist/4SV0oqALiCDRypl5dAvQGH
01150f1d09f14321867d6548389f31fa,2026-07-13T02:00:00Z,Male Manipulator Music,POV: its saturday and you just left your situationship’s house. you need a matcha latte bc your mouth is dry from telling her what Margaret Atwood actually meant when she wrote Handmaid’s Tale. you take your wired earbuds out of your New Yorker tote bag for some tunes for the walk – what are you playing?,https://open.spotify.com/playlist/7AzbRxUAJzd7uRo5FfuWPi
578f90bec90e4885acc149332e38f325,2026-07-20T02:00:00Z,Background Vocals Masterclass,"These background vocals boost the energy or add atmosphere. More than just ad-libs, it’s gotta have harmonies or pipe prowess.",https://open.spotify.com/playlist/0ZmF09oyFD2qdTuOazwj68
51277ec431f94081a9ea81314fc84bbf,2026-07-27T02:00:00Z,‘Thewville,"So you think you know Matthew’s music taste huh? Well, prove it by submitting songs that the world travelling, J.D. having, D.C. living, Huel ingesting, floor shitting man would absolutely adore",https://open.spotify.com/playlist/0EFiDuUVOJ0c5na7HjpIjK
1ceb6ca59db84a61a26031f3eff9d35e,2026-08-03T02:00:00Z,Song about a vice,"vice (noun): A moral fault or weakness in someone's character. Greed, pride, envy, and lust are considered to be vices.
Also— Illegal and immoral activities, especially involving illegal sex, drugs, etc.",https://open.spotify.com/playlist/3Eit2FH0vY8bzZ1fpTY97j
5982f32d5fde44d5ae3599521bf2f1e2,2026-08-10T02:00:00Z,Song you’d play if you were a surgeon working in the operating room 🔪,"Maybe you didn’t know this, but a lot of surgeons play music while they’re operating on patients in the OR. What song would you play in the OR?",https://open.spotify.com/playlist/7Lj3307GnpXFaJNNSTX23D
1137b84490f446b6b03cbb588dec2c06,2026-08-17T02:00:00Z,PHS-era Nostalgia,"You just ripped out of the Pembroke back parking lot and got stopped at the light, what song are you queuing to rip up the Ward Parkway hill?",https://open.spotify.com/playlist/35IQLYVUCX9dSSwt6CAPHT
